,id,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,host_duration,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_time_nan,property_type_Apartment,property_type_House,property_type_Others,property_type_Townhouse or Condo,property_type_nan,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_nan,bed_type_Not real bed,bed_type_Real Bed,bed_type_nan,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_nan
1003,6475289,25520296,2015/1/2,within an hour,1,1,1,1,1,Central Area,47.59770094,-122.2919996,1,Apartment,Entire home/apt,5,1,1,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",159,60,2,10,2,60,2 weeks ago,20,50,80,250,34,2015/6/28,2015/12/21,100,10,10,10,10,10,10,0,strict,0,0,1,5.34,367 days,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1004,1377812,3695109,2012/9/27,a few days or more,0.33,1,1,1,0,Central Area,47.6046968,-122.2854892,1,House,Entire home/apt,5,1,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",225,150,4,25,2,234,a week ago,30,60,90,365,55,2013/7/24,2015/11/28,98,10,10,10,10,10,10,0,flexible,0,0,1,1.84,1194 days,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1005,9512909,49292151,2015/11/17,within an hour,1,0,1,1,1,Central Area,47.60212072,-122.2901296,1,House,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",66,25,3,15,1,1125,2 days ago,5,22,42,220,2,2015/12/14,2015/12/22,100,10,10,10,10,10,10,1,flexible,0,0,1,2,48 days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1006,4432489,17571737,2014/7/2,within an hour,1,0,1,1,1,Central Area,47.59495768,-122.2951655,1,House,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",80,45,2,10,2,1125,a week ago,30,58,88,359,40,2014/12/28,2015/11/8,94,10,10,9,9,10,10,1,moderate,0,0,1,3.22,551 days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1007,7471629,8899401,2013/9/17,within an hour,1,1,1,1,1,Central Area,47.59176977,-122.2922878,0,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",79,35,2,25,1,1125,2 months ago,28,58,87,87,27,2015/8/2,2015/11/23,96,9,10,9,10,9,9,0,moderate,0,0,1,5.19,839 days,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1008,8067827,42612839,2015/8/26,within an hour,1,0,1,1,0,Central Area,47.59319643,-122.2924921,0,House,Private room,2,2,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",120,50,1,0,1,1125,2 months ago,30,60,90,365,1,2015/10/18,2015/10/18,100,10,10,10,10,10,10,0,flexible,0,0,1,0.38,131 days,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1009,4384095,21649497,2014/9/22,within an hour,1,1,4,4,1,Central Area,47.60574573,-122.2928299,1,House,Private room,2,2,1,1,Real Bed,"{""Wireless Internet"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",49,0,1,25,2,7,2 months ago,30,60,90,365,42,2014/11/15,2015/11/5,97,10,10,10,10,9,10,0,flexible,0,0,4,3.03,469 days,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1010,1351716,6592975,2013/5/27,within an hour,1,0,1,1,1,Central Area,47.59523563,-122.3097246,1,House,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",122,0,2,17,2,120,2 weeks ago,0,0,0,266,113,2013/7/13,2015/10/13,95,10,10,10,10,9,9,0,moderate,0,0,1,3.74,952 days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1011,8392661,44222821,2015/9/15,within a few hours,0.9,0,1,1,0,Central Area,47.59362267,-122.3074618,1,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",90,15,1,0,1,1125,today,1,1,20,22,15,2015/9/20,2015/12/30,83,9,10,10,9,9,9,0,flexible,0,0,1,4.21,111 days,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1012,281208,658155,2011/6/2,within an hour,1,1,13,13,1,Central Area,47.59379732,-122.3051488,1,House,Entire home/apt,6,2.5,2,4,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Shampoo}",196,110,1,0,3,365,today,22,52,82,269,27,2012/2/19,2015/11/23,98,10,10,10,10,9,10,1,strict,0,0,1,0.57,1677 days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1013,7859909,1982828,2012/3/21,within a day,0.89,0,1,1,0,Central Area,47.59943911,-122.3063463,1,Townhouse or Condo,Entire home/apt,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",115,30,1,0,1,1125,3 weeks ago,30,60,90,365,14,2015/8/19,2015/12/14,89,10,9,10,10,9,9,0,strict,0,1,1,3.02,1384 days,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1014,9416373,48823771,2015/11/12,,0.98,0,1,1,0,Central Area,47.60004911,-122.309868,0,Apartment,Entire home/apt,4,1,1,3,Real Bed,{},150,0,1,0,5,1125,2 months ago,30,60,90,365,0,,,95.46590909,9.715909091,9.613636364,9.818181818,9.875,9.5,9.5,0,flexible,0,0,1,,53 days,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1015,1404307,1682544,2012/2/1,within an hour,1,1,1,1,1,Central Area,47.59142846,-122.3017387,1,House,Entire home/apt,4,1.5,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",125,80,2,20,2,1125,3 weeks ago,30,60,90,365,15,2014/11/2,2015/12/23,99,10,10,10,10,10,10,0,strict,0,0,1,1.05,1433 days,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1016,7480843,39170884,2015/7/21,within an hour,0.9,0,1,1,1,Central Area,47.5944964,-122.2987894,1,Townhouse or Condo,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",175,120,1,0,3,1125,3 weeks ago,30,60,90,365,0,,,97.48275862,9.827586207,9.827586207,9.931034483,9.965517241,9.620689655,9.724137931,0,strict,0,0,1,,167 days,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1017,877203,287172,2010/11/14,within a few hours,0.8,0,2,2,0,Central Area,47.60026601,-122.2998674,1,House,Private room,2,1.5,1,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",60,30,1,30,2,365,4 weeks ago,3,33,63,338,27,2013/3/28,2015/12/16,93,9,9,9,9,8,9,0,flexible,0,0,2,0.8,1877 days,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1018,7037291,36896503,2015/6/27,within an hour,1,0,1,1,1,Central Area,47.59921759,-122.3120997,1,Others,Private room,2,1.5,1,1,Real Bed,"{""Cable TV"",""Wireless Internet"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",70,12,1,10,1,29,2 months ago,0,0,15,104,22,2015/8/10,2015/11/15,94,10,10,10,9,9,9,0,moderate,0,0,1,4.46,191 days,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1019,7931386,41823177,2015/8/18,within a day,0.75,0,1,1,0,Central Area,47.59561764,-122.3108208,1,Townhouse or Condo,Entire home/apt,4,2,3,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",175,20,1,0,2,10,4 months ago,28,58,88,363,4,2015/9/9,2015/10/20,100,10,10,10,10,10,10,0,flexible,0,0,1,1.02,139 days,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
